rating,text
8,생각보다 어른들이 관람중이라 좋았음 개인적으로 60 넘은 엄마와 함께 봤는데 둘다 볼만하다 생각했음 . 애들에 관람이 어려울까 우려되었으나 생각보다 음향이 커서 집중할수있어좋았음
10,아이가 좋아하네요.
10,아이가 무서웠다고 했지만 재미있었다고 합니다^^ 건승하십시오!!!
10,아이가 넘재밌었다네요
10,사랑스러운 하츄핑과 용감한 공주님 나에게는 사랑스런 하율이와 사율이 사율아 하율아 사랑해
9,동심을 깨우는 영화. 아이들의 절대적 지지.
6,"관람평 읽고 예매했는데, 스토리가 많이 평면적이고 캐릭터들의 모션은 로봇같아요 역시 미국 애니봐야하나!"
10,아이들과 함께 보기 좋아요. 아이들이 좋아해요
9,어른이봐도 지겹지않고~눈과귀가 만족되는영화엿어요
10,아이랑 함께 봤는데 좋았어요
10,너무 사랑스럽고 재밌었어요💗
10,리클라이너 빌런 때문에 제대로 못봤어요
10,OST도 너무 좋고 영상 전체적으로 화려하고 볼 게 많아서 좋았습니다.. 19살먹고 오열하고나옴
10,너무 재미나게 뷰ㅏㅆ어용
10,감동심함 티니핑 정주행할까 생각중
9,사랑의 하츄핑 귀여워요.
10,넘잼있다고 딸이 말했어요~~
10,ㅎ아이가 너무 좋아했어요 어른도봐도 감동이있었어요 여기저기서 초등언니들 훌쩍훌쩍~감동의 눈물소리가들렀어요
10,스토리가 생각보다 탄탄하고 노래가 좋아요. 다만 마지막이 좀 흐지부지 끝나는 느낌이라 좀 아쉬웠어요. 심심할때 한 번쯤 보기엔 좋아요:)
10,재미있었으며 추천합니다.
10,국산 애니도 완성도 높네요~~~
9,내용이야 아이들 보는거라 단순 핑크핑크 하게 예뻐요
10,아이 랑 같이 감상 했습니다. 아이 가 너무 좋아해요
10,남자친구랑 봤는데 너무 감동적이고 재미있었습니다 유치원생 아기들 사이에서 봤는데도 하나도 유치하지않았습니다
9,초등학생 저학년 재미나다고 함 초등학생 고학년 유치하다고 하
10,중1 중2. 둘다 재미 있다고 합ㄴ디ㅏ
10,재밌었어요 만족합니다
10,노래가 너무 좋아요
8,"초딩이들하고 같이봤어요~어른이보기엔 공주풍 영상,대사와 감정선이 좀 오글거리긴했는데 아이들이 재미있게 봤대서 다행이에요^^; 하츄핑이 귀엽긴하더라구요ㅎㅎ"
10,"애기들 보다 어른,중학생이 많고 스토리가 깔끔하진 않지만 의외로 재밌음"
9,연출 일단 유아용 애니임에도 뛰어났고 중간중간 하츄핑과 로미를 연결해준다는 의미인 하트 모양의 꽃잎이 자주 보여 스토리도 훌륭했습니다!
10,39개월 남자아이도 재미있게 봤어요^^
10,아이들이 엄청 잘 보네요. 다음에 또 보러가야 겠어여
10,너무 재밌고 스토리도 좋아요~~🫶🏻
10,감동적이고 재밌었어요
10,왕자님이 너무 멋있었다고 10번넘게 얘기했어요^^
7,아아들이 좋아하네요
8,재미와 감동을 한방에 잡음
10,하츄핑 너무 귀여운
10,아이랑 가서 봤는데 내가 눈물 흘리면서 봄
10,애들 영화정도 뇌 빼고는 볼만함
10,아이들이 감동적이라며 너무재밌게봤네요
10,재밌어요 근데 노래가 좀 뜬금없음
10,아이가 친구랑 넘 재미나게 봤다고 하네요^^ 완전 하츄핑팬이되어 돌아왔답니다~ㅎㅎ
10,재미와 감동이 있어 끝날때 까지 몰입하고 보았습니다.
10,인간과 티니핑의 우정 ㅎㅎㅎ
10,아이가 재밌게 봤다네요
6,나름 재밌게 봤습미다..
6,애들하고 잘 봤어요 ㅎㅎ
10,우리들의 귀염둥이 하츄하추 하츄삐잉
10,감동과 사랑이 넘처나서 좋았어요~~^^
10,아이들이 재미있게 봤다고 하네요~~
10,의외로 남자아이들도 좋아함. 서프라이즈로 데려가면 아이들의 히어로가 될 수 있음ㅎㅎㅎ
10,야이들이 좋아합니다
9,애들이 좋아해요. 잘봤어요.
10,오랜만에 재밌었습니다
10,아이가 좋아했어요~
10,사랑의 소중함을 한번더 생각하게 하는영화
9,초3 딸아이 보려주러 갔다가 내가 울어버린 영화 ㅠ
8,초6 T인 딸은 유치 했다고 합니다 ㅎ
9,기대이상!! 잼나요~~~~
10,하츄핑과 트러핑의 갈등해결과 로미와 하츄핑의 아름다운우정. 배신은 하지말자
10,재미있습니다 아이랑 보기 좋습니다.
8,"하츄핑, 사랑에 빠졌어요"
9,어 ㅋㅋ 생각보다 좋았다ㅠㅠ 노래가 모두 기대이상이었고 짝궁 티니핑과의 순수한 우정이 동심을 떠올리게했다. 이 할미는 캐캐체를 회상했다는건 안비밀ㅎ 재밌다츄~🩷 윈터목소리극락!
10,아이들이 너무좋아했어요~ 슬펐다고도 하더라고요ㅜ
9,"블링블링한 하츄핑과 로미 귀엽네요^^ 약간 고전적인 내용의애니메이션이지만, 재밌게 볼만합니다. 로미의 자아 찾기 느낌의 이야기 설정이 괜찮았습니다. 노래들도 귀여워요!"
10,재미있어요 꼭 보세요 ㅎㅎㅎㅎ
10,국산 애니메이션 중 탑. 노래ㅜ좋아요
10,왜 아이들이 좋아하는지 알거 같다 캐릭터 디자인하며 스토리까지 어른이 봐도 귀엽고 재밌었음
9,영상미는 끝내줌 열린결말만 빼면 다좋음
10,아이가 너무 좋아하네요
8,캐릭터들이 귀엽고 사랑스러워서 아이들이 좋아하겠네요.
10,초2였는데 친구들이보고 와서 눈물흘린다고 하길래 궁금해서 보러갔네요. 아주 재미있게 보았네요. 가끔 주인공 남자 등장에 간지러워서 못보겠다고는 말했지만 재미있었다고 하더라구요하하
10,너무 재밌고 캐릭터들이 너무 귀여웠어요
10,와우 뭔가요.. 어른이 봐도 너무 재밌고 노래들이 좋아요ㅎ
10,재미있게 봤어요 ~ ~~ !!
10,영상미 좋았고 하츄핑 너무너무 귀여웠어요!
10,아이들이 너무 재밌대요
10,기대없이 봤는데 지루하지않고.잼있어요 감동까지 줄줄이었습니다
10,너무 귀엽고 예쁘네요~ 사랑스러워~ ㅎㅎ
10,잘 봤습니다. 캐릭터들이 귀여워요.
10,재미있게 잘 보고 왔어요.
9,노래가 넘 좋았다. 재밌다.
8,아이가 잼나해요. 스토리도 좋구 눈물도 찍!!
10,티니핑들이 귀여웠고 리암왕자가 잘생겻어요 ✌🏻✌🏻
10,동생이랑 조카 보라고 예매 했습니다! 조카가 재미있게 봤길.. ㅎㅎ
10,아이들과 재미 있게 봤습니다
10,제게도 짝꿍 티니핑이 생기게 해주세요
10,애들이 재미있다고 합니다
